Mixture,macrophages,mast,B.naive,B.memory,plasma,T.CD4.naive,T.CD4.memory,T.CD8.naive,T.CD8.memory,NK,pDCs,mDCs,monocytes.C,monocytes.NC.I,neutrophils,Treg,endothelial.cells,fibroblasts,P-value,Correlation,RMSE
ROI_049.dcc,0.112434421631494,0,0.103109328705685,0,0.028097287593005,0.0277932967318271,0.0820243309908737,0.104281263256795,0.250236205683008,0,0.0226315183350289,0.0182404172684754,0.0118647912996597,0.00499900842336498,0,0.0542719027273259,0.0125518105677076,0.167464416785749,0,0.504945305713251,0.88020554112783
ROI_050.dcc,0,0.0412851601373638,0,0,0,0,0,0,0,0.342969142288922,0.119109856646371,0.0332293845667275,0,0.00424799931156625,0.19739662904332,0,0.101594149305183,0.160167678700547,0,0.441466359156396,0.902207895991275
ROI_051.dcc,0.0941076931469363,0,0,0,0.0433350374737786,0,0,0.0672821079219637,0,0.140093574405981,0.10001990862093,0.0129379538527017,0.113966466345479,0,0.328282770971913,0,0.00258678781099334,0.0973876994493229,0,0.419420128193428,0.917022975623404
ROI_052.dcc,0.0736268655744414,0.0119203000991695,0,0,0.02576720609714,0,0,0,0.124111259611526,0.198279040934171,0.055707104518784,0.000663570264427871,0,0.0115122526843659,0.220506996633558,0.16384767105988,0.0722011353747004,0.0418565971478371,0,0.20349036452848,0.982088700361857
ROI_053.dcc,0.438735696925448,0.000229784221238395,0,0,0.127610446341367,0,0.0345196453659031,0,0.0624713312899719,0,0.0412972895543268,0.00987295610815115,0.0290360156133459,0,0,0.0820478710709731,0,0.174178963509275,0,0.730885945065063,0.754073616163091
ROI_054.dcc,0.568242387913232,0,0,0,0.031261534396665,0,0,0,0.0442373889052533,0,0.0137772796950329,0,0.113725254798559,0,0.000445535045116978,0.00838059959462932,0,0.219930019651512,0,0.821198248179334,0.645936930407035
ROI_055.dcc,0.547388638570004,0.00561471148536789,0,0,0.0582245016331364,0.0457168693112577,0.000890495448584442,0,0.0799845123471502,0,0.0131608371731876,0,0.0715310212761339,0,0.0227616642934053,0,0,0.154726748461773,0,0.720803947295328,0.755704121171141
ROI_056.dcc,0,0.0111993312404426,0.0152644961190819,0.0205601471377935,0.101112945396351,0.0729607068646963,0.077611761849801,0,0.219014760499352,0,0.010881760358271,0.016032121666048,0.00600059899242638,0,0.0145187731105556,0.163109643401462,0.201924207937435,0.069808745426283,0,0.352999463729963,0.948212533710098
ROI_057.dcc,0.0755600295222849,0.065184638875728,0,0,0,0.0945256624723734,0.147334234532468,0,0.154777272405782,0.0290906559981766,0.0381288549546558,0.0340394763213385,0,0,0,0.10759639401883,0.221551322617754,0.0322114582806087,0,0.460756156889502,0.916794177562862
ROI_058.dcc,0,0.0532935759233164,0.050213401979889,0.10530488397943,0.0260751378843053,0.0527224103451562,0.115369058363412,0,0.327929049514958,0,0.00435069773717995,0.011522306033678,0,0,0,0.067596925660975,0.106312076932568,0.0793104756451324,0,0.29857810583148,0.959417182257082
